TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I
1718634594875.167969,12.4297,515.622,638.651,-917.596
1718634594884.167725,12.6,515.068,662.114,-1341.71
1718634594893.167480,12.2555,515.124,688.892,-1889.8
1718634594902.167236,12,515.593,716.113,-2276.99
1718634594911.166992,11.7704,516.024,740.575,-2367.89
1718634594920.166748,4.94064,516.585,764.185,-2376.88
1718634594929.166504,0,516.707,776.463,-1835.99
1718634594938.166260,0,516.97,767.742,-1295.11
1718634594947.166016,0,517.122,720.432,-1027.38
1718634594956.165771,0,517.309,635.879,-787.532
1718634594965.165527,0,517.576,551.362,-584.682
1718634594974.165283,0,517.524,499.818,-398.837
1718634594983.165039,0,517.669,487.537,-259.333
1718634594992.164795,0,517.909,483.298,-173.621
1718634595001.164551,0,518.5,480.388,-95.0988
1718634595010.164063,0,518.5,484.313,-64.9504
1718634595019.163818,0,517.991,499.029,-34.8012
1718634595028.163574,0,517.724,546.771,38.4645
1718634595037.163330,0,518.47,620.232,116.147
1718634595046.163086,0,517.836,687.291,173.614
1718634595055.162842,0,517.201,723.163,225.898
1718634595064.162598,0,517.391,725.225,241.72
1718634595073.162354,0,517.586,715.525,215.171
1718634595082.162109,0,517.991,704.3,191.324
1718634595091.161865,0,517.492,693.988,176.025
1718634595100.161621,0,517.415,681.914,160.265
1718634595109.161377,0,517.894,668.14,119.316
1718634595118.161133,0,517.914,652.065,78.3668
1718634595127.160889,0,517.092,636.141,29.7626
1718634595136.160645,0,517.108,621.452,-20.8074
1718634595145.160400,0,517.416,607.604,-61.3571
1718634595154.160156,0,517.669,594.84,-90.251
1718634595163.159912,0,517.816,583.067,-112.634
1718634595172.159668,0,518.208,573.613,-122.984
1718634595181.159424,0,518.377,569.227,-132.87
1718634595190.159180,0,518.192,564.614,-139.619
1718634595199.158691,0,517.508,563,-146.369
1718634595208.158447,0,517.631,558.842,-149.04
1718634595217.158203,0,517.9,556.772,-151.29
1718634595226.157959,0,517.761,559.076,-150.153
1718634595235.157715,0,517.923,560.31,-147.453
1718634595244.157471,0,517.792,565.772,-143.09
1718634595253.157227,0,517.385,573.619,-136.79
1718634595262.156982,0,517.046,590.085,-129.735
1718634595271.156738,0,516.769,612.237,-120.285
1718634595280.156494,0,517.2,632.237,-111.399
